,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
4,48.7821,278.3402,4.32044,8.3697,5,5,4.5,3,3,3.5,3.25,4,5,5,26
5,29.0101,143.8198,2.88754,5.2354,5,5,4.333333333,3,3,3.5,3.25,1,5,5,26
6,37.1043,198.765,2.92105,10.3202,5,5,4.333333333,3,3,3.5,3.25,4,5,5,26
7,31.1886,176.852,3.08653,8.2206,5,5,4.166666667,3,3,3.5,3.25,1,5,5,26
8,54.3283,313.51,2.45219,10.7031,5,5,4.333333333,5,5,3.5,4.25,5,5,5,26
9,39.5547,212.238,2.16919,14.1697,5,5,4.666666667,5,5,3.5,4.25,3,5,5,26
0,29.43958,128.2062533,,8.18995,2,2,3,3,2,2,2.25,3,2,2,27
1,130.7305,690.0809,2.18772,10.66943,2,1,3,3,2,2,2.25,3,3,3,27
2,72.5498,396.5526,4.40277,24.4538,1.5,2,2.333333333,4,2,3,3,2,4,1,27
3,41.2121,234.246,2.30414,7.0873,1.5,3,2.833333333,3,3,3,3,2,2,2,27
4,61.183,341.05,1.38678,2.3365,2,2,2.666666667,3,3,2.5,2.75,3,2,1,27
5,142.8507,749.487,2.45354,30.3894,2,2,2.666666667,3,2,2.5,2.5,3,3,1,27
6,97.0874,525.229,3.35374,10.3366,1,3,2.666666667,4,3,3,3.25,2,4,3,27
7,115.0398,665.713,2.8538,14.2543,1,2,2.5,4,4,2,3,3,4,3,27
8,99.273,568.445,2.58666,1.402,1,3,3.166666667,3,3,2,2.5,3,3,3,27
9,27.638,147.227,1.2696,11.356,2,3,2.666666667,3,2,3,2.75,3,3,1,27
0,28.17585,126.3716533,,21.69011,1.5,1,2,4,1,3,2.75,4,5,2,28
1,43.2005,223.1781,2.66908,23.40574,1.5,4,4,3,3,3.5,3.25,4,4,5,28
2,30.4782,153.455,2.78668,20.6683,2,5,4,2,4,4,3.5,1,5,5,28
3,35.2786,157.8315,2.02085,12.5026,5,5,4.666666667,2,4,4,3.5,1,5,5,28
4,52.2967,283.1104,3.16985,20.819,5,4,3.833333333,3,3,3,3,3,5,5,28
5,36.7205,196.7311,3.90411,20.5182,3,2,3,2,4,2.5,2.75,2,5,3,28
6,37.6924,200.834,2.21922,16.986,2,5,4.666666667,2,4,3.5,3.25,2,5,1,28
7,33.1431,173.494,2.01994,9.1529,3,5,4.666666667,5,5,3.5,4.25,1,1,5,28
8,60.6297,329.991,3.57071,14.17,5,3,3,3,3,3,3,4,2,4,28
9,26.9191,135.453,2.81984,19.4682,3,2,2.333333333,3,3,3,3,2,3,3,28
